trial,param_iterations,param_learning_rate,param_depth,param_l2_leaf_reg,param_border_count,param_random_strength,param_bagging_temperature,f1_macro,accuracy
1354,600,0.18,7,8.0,216,0.0,0.9,0.4808778922776167,0.4956254050550875
1355,600,0.16999999999999998,7,3.0,208,0.4,0.2,0.47789331926595285,0.49254698639014904
1356,700,0.16999999999999998,7,2.0,216,0.0,0.8500000000000001,0.48434128591299747,0.4987038237200259
1357,800,0.16999999999999998,6,1.0,200,0.0,0.8,0.48090937113356086,0.495949449125081
1358,600,0.16999999999999998,8,2.0,200,0.2,0.8500000000000001,0.4799008464601373,0.4956254050550875
1359,700,0.18,7,3.0,208,0.2,0.9,0.4813473834128386,0.495949449125081
1360,600,0.16999999999999998,7,2.0,216,0.0,0.8500000000000001,0.48434128591299747,0.4987038237200259
1361,700,0.18,7,1.0,208,0.0,0.8500000000000001,0.48342718239777643,0.49789371354504214
1362,600,0.16999999999999998,9,2.0,224,0.2,0.8,0.4794421059993497,0.495301360985094
1363,800,0.16999999999999998,7,2.0,216,0.0,0.9,0.4824381700693685,0.49724562540505507
1364,700,0.16999999999999998,7,3.0,208,0.2,0.8500000000000001,0.4792944092993556,0.4944912508101102
1365,600,0.18,7,2.0,216,0.0,0.8,0.4801424090224476,0.49497731691510044
1366,700,0.16999999999999998,7,1.0,200,0.0,0.8500000000000001,0.4830585382433932,0.49740764744005184
1367,800,0.06,7,2.0,208,0.2,0.9,0.48083859995980177,0.495949449125081
1368,600,0.18,7,3.0,224,0.0,0.9500000000000001,0.4814373350663674,0.49611147116007775
1369,700,0.16999999999999998,7,1.0,216,0.0,0.8500000000000001,0.4830585382433932,0.49740764744005184
1370,600,0.16999999999999998,7,2.0,208,0.2,0.8,0.48108163434124185,0.4962734931950745
1371,700,0.16999999999999998,7,2.0,200,0.0,0.8500000000000001,0.48434128591299747,0.4987038237200259
1372,600,0.18,7,3.0,216,0.4,0.8500000000000001,0.4793334758842153,0.4940051847051199
1373,800,0.07,10,2.0,32,0.2,0.9,0.48014158335775764,0.4956254050550875
1374,700,0.19,7,1.0,208,0.0,0.8500000000000001,0.4804825982003848,0.49546338302009074
1375,600,0.16999999999999998,7,2.0,200,0.0,0.8,0.48185343590509006,0.4967595593000648
1376,600,0.18,7,3.0,224,0.0,0.9,0.48189884955008894,0.4969215813350616
1377,700,0.16999999999999998,7,2.0,216,0.2,0.8500000000000001,0.47951427860237295,0.49497731691510044
1378,600,0.16999999999999998,7,1.0,208,0.0,0.8,0.4825394646469569,0.4970836033700583
1379,800,0.16999999999999998,7,2.0,208,0.0,0.8500000000000001,0.48434128591299747,0.4987038237200259
1380,700,0.18,7,3.0,216,0.2,0.9,0.4813473834128386,0.495949449125081
1381,600,0.16999999999999998,7,13.0,200,0.2,0.8500000000000001,0.4805126963432172,0.4957874270900843
1382,700,0.16999999999999998,7,2.0,216,0.0,0.8,0.48185343590509006,0.4967595593000648
1383,600,0.16999999999999998,7,1.0,208,0.0,0.8500000000000001,0.4830585382433932,0.49740764744005184
